bom-ref,resource-type,group,name,version,description
pkg:golang/github.com/CycloneDX/sbom-utility@v0.16.1-0.20240509212942-c0f877e52d65?type=module,component,,github.com/CycloneDX/sbom-utility,v0.16.1-0.20240509212942-c0f877e52d65,
pkg:golang/github.com/fatih/color@v1.15.0?type=module,component,,github.com/fatih/color,v1.15.0,
pkg:golang/github.com/google/uuid@v1.6.0?type=module,component,,github.com/google/uuid,v1.6.0,
pkg:golang/github.com/hokaccha/go-prettyjson@v0.0.0-20211117102719-0474bc63780f?type=module,component,,github.com/hokaccha/go-prettyjson,v0.0.0-20211117102719-0474bc63780f,
pkg:golang/github.com/iancoleman/orderedmap@v0.3.0?type=module,component,,github.com/iancoleman/orderedmap,v0.3.0,
pkg:golang/github.com/inconshreveable/mousetrap@v1.1.0?type=module,component,,github.com/inconshreveable/mousetrap,v1.1.0,
pkg:golang/github.com/jwangsadinata/go-multimap@v0.0.0-20190620162914-c29f3d7f33b6?type=module,component,,github.com/jwangsadinata/go-multimap,v0.0.0-20190620162914-c29f3d7f33b6,
pkg:golang/github.com/mattn/go-colorable@v0.1.13?type=module,component,,github.com/mattn/go-colorable,v0.1.13,
pkg:golang/github.com/mattn/go-isatty@v0.0.20?type=module,component,,github.com/mattn/go-isatty,v0.0.20,
pkg:golang/github.com/mrutkows/go-jsondiff@v0.2.0?type=module,component,,github.com/mrutkows/go-jsondiff,v0.2.0,
pkg:golang/github.com/sergi/go-diff@v1.3.1?type=module,component,,github.com/sergi/go-diff,v1.3.1,
pkg:golang/github.com/spf13/cobra@v1.7.0?type=module,component,,github.com/spf13/cobra,v1.7.0,
pkg:golang/github.com/spf13/pflag@v1.0.5?type=module,component,,github.com/spf13/pflag,v1.0.5,
pkg:golang/github.com/xeipuuv/gojsonpointer@v0.0.0-20190905194746-02993c407bfb?type=module,component,,github.com/xeipuuv/gojsonpointer,v0.0.0-20190905194746-02993c407bfb,
pkg:golang/github.com/xeipuuv/gojsonreference@v0.0.0-20180127040603-bd5ef7bd5415?type=module,component,,github.com/xeipuuv/gojsonreference,v0.0.0-20180127040603-bd5ef7bd5415,
pkg:golang/github.com/xeipuuv/gojsonschema@v1.2.0?type=module,component,,github.com/xeipuuv/gojsonschema,v1.2.0,
pkg:golang/golang.org/x/exp@v0.0.0-20231006140011-7918f672742d?type=module,component,,golang.org/x/exp,v0.0.0-20231006140011-7918f672742d,
pkg:golang/golang.org/x/sys@v0.13.0?type=module,component,,golang.org/x/sys,v0.13.0,
